Time,Hoover Dam Total / Acre Feet,Evaporation Volume / Cubic Feet,Abnormal
2000.01 ,749873 ,40083 ,(2999529)
2000.02 ,772422 ,40083 ,(2806011)
2000.03 ,1034582 ,40083 ,(2999529)
2000.04 ,1227711 ,40083 ,(2902770)
2000.05 ,1235445 ,40083 ,
2000.06 ,963033 ,47940 ,
2000.07 ,999973 ,58962 ,
2000.08 ,925093 ,61690 ,
2000.09 ,576151 ,48705 ,(2902770)
2000.10 ,586956 ,25436 ,(2999529)
2000.11 ,775731 ,35720 ,
2000.12 ,858905 ,31651 ,
2001.01 ,688280 ,25436 ,(2999529)
2001.02 ,770071 ,25436 ,(2709252)
2001.03 ,974307 ,25436 ,(2999529)
2001.04 ,1136979 ,25436 ,(2902770)
2001.05 ,1029439 ,25436 ,(2999529)
2001.06 ,1079442 ,25436 ,(2902770)
2001.07 ,1000867 ,25436 ,(2999529)
2001.08 ,887609 ,25436 ,(2999529)
2001.09 ,697942 ,25436 ,(2902770)
2001.10 ,515720 ,25436 ,(2999529)
2001.11 ,667130 ,25436 ,(2902770)
2001.12 ,758048 ,25436 ,(2999529)
2002.01 ,701686 ,25436 ,(2999529)
2002.02 ,784807 ,25436 ,(2709252)
2002.03 ,1146348 ,25436 ,(2999529)
2002.04 ,1111708 ,25436 ,(2902770)
2002.05 ,1164670 ,25436 ,(2999529)
2002.06 ,1035014 ,25436 ,(2902770)
2002.07 ,1007664 ,25436 ,(2999529)
2002.08 ,945158 ,25436 ,(2999529)
2002.09 ,664226 ,25436 ,(2902770)
2002.10 ,524820 ,25436 ,(2999529)
2002.11 ,625171 ,25436 ,(2902770)
2002.12 ,730593 ,25436 ,(2999529)
2003.01 ,651350 ,25436 ,(2999529)
2003.02 ,608008 ,25436 ,(2709252)
2003.03 ,957118 ,25436 ,(2999529)
2003.04 ,1137843 ,25436 ,(2902770)
2003.05 ,1017345 ,25436 ,(2999529)
2003.06 ,902362 ,25436 ,(2902770)
2003.07 ,964486 ,25436 ,(2999529)
2003.08 ,743855 ,25436 ,(2999529)
2003.09 ,584163 ,25436 ,(2902770)
2003.10 ,538587 ,25436 ,(2999529)
2003.11 ,636935 ,25436 ,(2902770)
2003.12 ,623200 ,25436 ,(2999529)
2004.01 ,633123 ,19220 ,
2004.02 ,805116 ,17661 ,
2004.03 ,945598 ,22548 ,(2999529)
2004.04 ,1048834 ,22548 ,(2902770)
2004.05 ,1124376 ,27435 ,
2004.06 ,994993 ,32580 ,
2004.07 ,952470 ,40393 ,
2004.08 ,763375 ,42904 ,
2004.09 ,567829 ,35340 ,
2004.10 ,364789 ,25792 ,
2004.11 ,501727 ,26010 ,
2004.12 ,642410 ,22568 ,
2005.01 ,337237 ,18755 ,
2005.02 ,341444 ,17696 ,
2005.03 ,427598 ,20336 ,
2005.04 ,1023545 ,25350 ,
2005.05 ,1008745 ,28768 ,
2005.06 ,899502 ,34380 ,
2005.07 ,974976 ,42718 ,
2005.08 ,795152 ,45322 ,
2005.09 ,622515 ,37260 ,
2005.10 ,640023 ,27001 ,
2005.11 ,675226 ,26820 ,
2005.12 ,529548 ,23188 ,
2006.01 ,594666 ,19127 ,
2006.02 ,610475 ,17668 ,
2006.03 ,830092 ,19809 ,
2006.04 ,990119 ,24360 ,
2006.05 ,1070850 ,27590 ,
2006.06 ,1035754 ,32790 ,
2006.07 ,967284 ,24380 ,
2006.08 ,818252 ,42935 ,
2006.09 ,633122 ,35280 ,
2006.10 ,563996 ,25699 ,
2006.11 ,525002 ,25740 ,
